n,median_time_ms
1,1e-09
2,1e-09
3,0.0001
4,0.0001
5,0.0001
6,0.0001
7,0.0002
8,0.0002
9,0.0002
10,0.0005
11,0.0003
12,0.0003
13,0.0006
14,0.0004
15,0.0005
16,0.0006
17,0.0006
18,0.0006
19,0.0006
20,0.0009
21,0.0008
22,0.0008
23,0.00195
24,0.0009
25,0.0009
26,0.0013
27,0.0011
28,0.0023
29,0.0012
30,0.0013
31,0.0013
32,0.00155
33,0.0018
34,0.0019
35,0.0017
36,0.0017
37,0.0018
38,0.0019
39,0.0019
40,0.0022
41,0.0021
42,0.0023
43,0.0023
44,0.00255
45,0.0025
46,0.0026
47,0.0027
48,0.0028
49,0.0029
50,0.003
51,0.0032
52,0.0034
53,0.0035
54,0.0035
55,0.0036
56,0.0039
57,0.0039
58,0.004
59,0.0041
60,0.00455
61,0.0042
62,0.00925
63,0.0047
64,0.0079
65,0.006
66,0.005
67,0.005
68,0.0056
69,0.0054
70,0.00685
71,0.0058
72,0.0079
73,0.0059
74,0.0066
75,0.00745
76,0.0064
77,0.0067
78,0.0084
79,0.009
80,0.0092
81,0.0077
82,0.0074
83,0.0075
84,0.0085
85,0.00795
86,0.0079
87,0.00875
88,0.0083
89,0.0109
90,0.0088
91,0.0089
92,0.009
93,0.0094
94,0.011
95,0.0097
96,0.0103
97,0.0101
98,0.0105
99,0.0105
100,0.0106
101,0.01105
102,0.0111
103,0.0113
104,0.0115
105,0.0127
106,0.0118
107,0.0122
108,0.0121
109,0.0133
110,0.0128
111,0.013
112,0.0135
113,0.0134
114,0.0138
115,0.0141
116,0.01435
117,0.0142
118,0.0165
119,0.0147
120,0.015
121,0.01505
122,0.01555
123,0.0156
124,0.0159
125,0.01655
126,0.0168
127,0.0168
128,0.0171
129,0.0267
130,0.02015
131,0.0176
132,0.0181
133,0.0187
134,0.01865
135,0.0285
136,0.01925
137,0.0192
138,0.0196
139,0.0207
140,0.02
141,0.02045
142,0.02075
143,0.0215
144,0.0218
145,0.0218
146,0.02365
147,0.02225
148,0.02295
149,0.0235
150,0.0234
151,0.02315
152,0.0353
153,0.0241
154,0.02495
155,0.0245
156,0.0249
157,0.03855
158,0.02535
159,0.0258
160,0.0255
161,0.0263
162,0.02725
163,0.02705
164,0.027
165,0.0272
166,0.0276
167,0.028
168,0.0292
169,0.0289
170,0.03
171,0.0297
172,0.0296
173,0.03015
174,0.0304
175,0.03065
176,0.03115
177,0.0315
178,0.0314
179,0.03265
180,0.03255
181,0.0328
182,0.0335
183,0.0336
184,0.0342
185,0.0342
186,0.0365
187,0.0352
188,0.03565
189,0.0353
190,0.0356
191,0.03685
192,0.0367
